Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ADAMTS2	gene	ADAMTS2	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen	Ehlers Danlos syndrome with a likely monogenic cause	Connective tissues disorders	Rheumatological disorders	BIALLELIC, autosomal or pseudoautosomal	Ehlers-Danlos syndrome, dermatosparaxis type, OMIM:225410				28306229;28306225;1303238;1642226;1403389;15389701;26765342		False	3	75;25;0	3.21	False		ENSG00000087116	ENSG00000087116	HGNC:218													
AEBP1	gene	AEBP1	Expert Review Green;Literature;NHS GMS	Ehlers Danlos syndrome with a likely monogenic cause	Connective tissues disorders	Rheumatological disorders	BIALLELIC, autosomal or pseudoautosomal	Ehlers-Danlos syndrome, classic-like, 2, OMIM:618000				29606302		False	3	75;25;0	3.21	False		ENSG00000106624	ENSG00000106624	HGNC:303													
ALDH18A1	gene	ALDH18A1	Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen	Ehlers Danlos syndrome with a likely monogenic cause	Connective tissues disorders	Rheumatological disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Cutis laxa, autosomal recessive, type IIIA, OMIM:219150;Cutis laxa, autosomal dominant 3, OMIM:616603				24767728;26320891;11092761;18478038;21739576;24913064		False	3	75;25;0	3.21	False		ENSG00000059573	ENSG00000059573	HGNC:9722													
ATP6V0A2	gene	ATP6V0A2	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen	Ehlers Danlos syndrome with a likely monogenic cause	Connective tissues disorders	Rheumatological disorders	BIALLELIC, autosomal or pseudoautosomal	Cutis laxa, autosomal recessive, type IIA, OMIM:219200;Wrinkly skin syndrome, OMIM:278250				18157129;15657616;22773132;20301755		False	3	80;20;0	3.21	False		ENSG00000185344	ENSG00000185344	HGNC:18481													
ATP6V1A	gene	ATP6V1A	Expert Review;Expert Review Green;NHS GMS	Ehlers Danlos syndrome with a likely monogenic cause	Connective tissues disorders	Rheumatological disorders	BIALLELIC, autosomal or pseudoautosomal	Cutis laxa, autosomal recessive, type IID, OMIM:617403				28065471;33320377		False	3	83;17;0	3.21	False		ENSG00000114573	ENSG00000114573	HGNC:851													
ATP7A	gene	ATP7A	Expert list;Expert Review Green;NHS GMS	Ehlers Danlos syndrome with a likely monogenic cause	Connective tissues disorders	Rheumatological disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Occipital horn syndrome, OMIM:304150				28306229;27604308;10739752;11431706;20170900		False	3	80;20;0	3.21	False		ENSG00000165240	ENSG00000165240	HGNC:869													
B3GALT6	gene	B3GALT6	Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Ehlers Danlos syndrome with a likely monogenic cause	Connective tissues disorders	Rheumatological disorders	BIALLELIC, autosomal or pseudoautosomal	Ehlers-Danlos syndrome, spondylodysplastic type, 2, OMIM:615349;Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, OMIM:271640				23664117;23664118;28306229;28306225		False	3	80;20;0	3.21	False		ENSG00000176022	ENSG00000176022	HGNC:17978													
B4GALT7	gene	B4GALT7	Expert list;Expert Review Green;NHS GMS;Radboud University Medical Center, Nijmegen	Ehlers Danlos syndrome with a likely monogenic cause	Connective tissues disorders	Rheumatological disorders	BIALLELIC, autosomal or pseudoautosomal	Ehlers-Danlos syndrome, spondylodysplastic type, 1, OMIM:130070				23956117;10506123;10473568;12417421;15859521;15211654;15589118;16583246;3631078;27320698;26940150;28306229;28306225		False	3	80;20;0	3.21	False		ENSG00000027847	ENSG00000027847	HGNC:930													
BGN	gene	BGN	Expert Review Green;NHS GMS;Other	Ehlers Danlos syndrome with a likely monogenic cause	Connective tissues disorders	Rheumatological disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Meester-Loeys syndrome, OMIM:300989				27632686		False	3	75;25;0	3.21	False		ENSG00000182492	ENSG00000182492	HGNC:1044													
C1R	gene	C1R	Expert Review Green;Literature;NHS GMS	Ehlers Danlos syndrome with a likely monogenic cause	Connective tissues disorders	Rheumatological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Ehlers-Danlos syndrome, periodontal type, 1, OMIM:130080				27745832;28306229;28306225		False	3	80;20;0	3.21	False		ENSG00000159403	ENSG00000159403	HGNC:1246													
C1S	gene	C1S	Expert Review Green;Literature;NHS GMS	Ehlers Danlos syndrome with a likely monogenic cause	Connective tissues disorders	Rheumatological disorders	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Ehlers-Danlos syndrome, periodontal type, 2, OMIM:617174				27745832;28306229;28306225		False	3	80;20;0	3.21	False		ENSG00000182326	ENSG00000182326	HGNC:1247													
CBS	gene	CBS	Emory Genetics Laboratory;Expert list;Illumina TruGenome Clinical Sequencing Services;NHS GMS;UKGTN	Ehlers Danlos syndrome with a likely monogenic cause	Connective tissues disorders	Rheumatological disorders	BIALLELIC, autosomal or pseudoautosomal	Homocystinuria, B6-responsive and nonresponsive types, OMIM:236200						False	3	75;25;0	3.21	False		ENSG00000160200	ENSG00000160200	HGNC:1550													
